;;;;enero;enero;enero;enero;;febrero;febrero;febrero;febrero;;marzo;marzo;marzo;marzo;;abril;abril;abril;abril;;mayo;mayo;mayo;mayo;;junio;junio;junio;junio;;julio;julio;julio;julio;;agosto;agosto;agosto;agosto;;septiembre;septiembre;septiembre;septiembre;;octubre;octubre;octubre;octubre;;noviembre;noviembre;noviembre;noviembre;;diciembre;diciembre;diciembre;diciembre;;Total;Total;Total;Total;2024;2024;2024;2024;Total
__clase____descripcion;__subclase____descripcion;__producto____descripcion;codigo;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;Kg ;Margen; ﾛ/Kilo ;Precio medio;ﾛ
Bivalvos;Total;;306890001;18.500;113.590;24.050;1,30;5,00%;18.500;113.590;24.050;1,30;5,00%;37.000;227.180;48.100;1,30;10,00%;25.900;159.026;33.670;1,30;7,00%;40.700;249.898;52.910;1,30;11,00%;29.600;181.744;38.480;1,30;8,00%;44.400;272.616;57.720;1,30;12,00%;48.100;295.334;62.530;1,30;13,00%;22.200;136.308;28.860;1,30;6,00%;29.600;181.744;38.480;1,30;8,00%;33.300;204.462;43.290;1,30;9,00%;22.200;136.308;28.860;1,30;6,00%;370.000;2.271.800;481.000;1,30;370.000;481.000;1,30;6,14;
Carne;Total;;187200101;8.400;33.264;9.408;1,12;6,00%;8.400;33.264;9.408;1,12;6,00%;12.600;49.896;14.112;1,12;9,00%;11.200;44.352;12.544;1,12;8,00%;12.600;49.896;14.112;1,12;9,00%;11.200;44.352;12.544;1,12;8,00%;12.600;49.896;14.112;1,12;9,00%;16.800;66.528;18.816;1,12;12,00%;11.200;44.352;12.544;1,12;8,00%;12.600;49.896;14.112;1,12;9,00%;11.200;44.352;12.544;1,12;8,00%;11.200;44.352;12.544;1,12;8,00%;140.000;554.400;156.800;1,12;140.000;156.800;1,12;3,96;
Cefal用odos-Todos;Total;;;135.750;667.109;158.078;1,16;;136.600;669.489;158.631;1,16;;252.500;1.236.726;292.326;1,16;;201.600;1.001.692;234.126;1,16;;233.900;1.158.196;272.561;1,16;;203.300;1.002.001;235.808;1,16;;267.800;1.331.918;311.176;1,16;;297.950;1.468.501;344.767;1,16;;159.400;787.578;183.183;1,16;;205.850;1.016.876;237.443;1,16;;169.400;830.179;194.250;1,16;;100.950;506.639;118.254;1,16;;2.365.000;11.676.900;2.740.600;1,16;2.365.000;2.740.600;1,16;5,07;
Cefal用odos-Todos;Calamar;Total;157800120;1.250;6.463;1.375;1,10;5,00%;1.250;6.463;1.375;1,10;5,00%;2.750;14.218;3.025;1,10;11,00%;1.750;9.048;1.925;1,10;7,00%;2.500;12.925;2.750;1,10;10,00%;2.000;10.340;2.200;1,10;8,00%;3.000;15.510;3.300;1,10;12,00%;3.250;16.803;3.575;1,10;13,00%;1.500;7.755;1.650;1,10;6,00%;2.000;10.340;2.200;1,10;8,00%;2.250;11.633;2.475;1,10;9,00%;1.500;7.755;1.650;1,10;6,00%;25.000;129.250;27.500;1,10;25.000;27.500;1,10;5,17;
Cefal用odos-Todos;Pota;Total;;35.600;232.557;45.525;1,26;;35.600;232.557;45.525;1,26;;70.100;454.748;89.344;1,26;;56.800;371.757;71.407;1,26;;65.150;426.946;83.198;1,26;;57.100;373.501;72.274;1,26;;81.100;525.860;102.978;1,26;;84.200;541.661;105.543;1,26;;47.300;300.660;57.697;1,26;;60.200;383.548;73.878;1,26;;49.600;313.074;60.691;1,26;;32.250;209.534;41.492;1,26;;675.000;4.366.400;849.550;1,26;675.000;849.550;1,26;6,52;
Cefal用odos-Todos;Pota;Anilla/Troceado;151200100;2.250;11.925;2.475;1,10;5,00%;2.250;11.925;2.475;1,10;5,00%;4.500;23.850;4.950;1,10;10,00%;3.600;19.080;3.960;1,10;8,00%;4.500;23.850;4.950;1,10;10,00%;3.600;19.080;3.960;1,10;8,00%;5.400;28.620;5.940;1,10;12,00%;5.850;31.005;6.435;1,10;13,00%;2.700;14.310;2.970;1,10;6,00%;3.600;19.080;3.960;1,10;8,00%;4.050;21.465;4.455;1,10;9,00%;2.700;14.310;2.970;1,10;6,00%;45.000;238.500;49.500;1,10;45.000;49.500;1,10;5,30;
Cefal用odos-Todos;Pota;Calamar Romana;183340101;1.250;7.375;938;0,75;5,00%;1.250;7.375;938;0,75;5,00%;3.250;19.175;2.438;0,75;13,00%;1.500;8.850;1.125;0,75;6,00%;2.500;14.750;1.875;0,75;10,00%;2.000;11.800;1.500;0,75;8,00%;3.250;19.175;2.438;0,75;13,00%;3.000;17.700;2.250;0,75;12,00%;1.500;8.850;1.125;0,75;6,00%;2.000;11.800;1.500;0,75;8,00%;2.000;11.800;1.500;0,75;8,00%;1.500;8.850;1.125;0,75;6,00%;25.000;147.500;18.750;0,75;25.000;18.750;0,75;5,90;
Cefal用odos-Todos;Pota;Enharinado;184180000;2.250;15.075;4.343;1,93;5,00%;2.250;15.075;4.343;1,93;5,00%;5.850;39.195;11.291;1,93;13,00%;2.700;18.090;5.211;1,93;6,00%;4.500;30.150;8.685;1,93;10,00%;3.600;24.120;6.948;1,93;8,00%;5.850;39.195;11.291;1,93;13,00%;5.400;36.180;10.422;1,93;12,00%;2.700;18.090;5.211;1,93;6,00%;3.600;24.120;6.948;1,93;8,00%;3.600;24.120;6.948;1,93;8,00%;2.700;18.090;5.211;1,93;6,00%;45.000;301.500;86.850;1,93;45.000;86.850;1,93;6,70;
Cefal用odos-Todos;Pota;Entero;151920000;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0;0;0,00;;
Cefal用odos-Todos;Pota;Rabas;181930101;8.100;70.713;14.985;1,85;6,00%;8.100;70.713;14.985;1,85;6,00%;14.850;129.641;27.473;1,85;11,00%;12.150;106.070;22.478;1,85;9,00%;13.500;117.855;24.975;1,85;10,00%;10.800;94.284;19.980;1,85;8,00%;16.200;141.426;29.970;1,85;12,00%;17.550;153.212;32.468;1,85;13,00%;8.100;70.713;14.985;1,85;6,00%;10.800;94.284;19.980;1,85;8,00%;8.100;70.713;14.985;1,85;6,00%;6.750;58.928;12.488;1,85;5,00%;135.000;1.178.550;249.750;1,85;135.000;249.750;1,85;8,73;
Cefal用odos-Todos;Pota;Rejos;156990100;3.000;14.706;3.300;1,10;6,00%;3.000;14.706;3.300;1,10;6,00%;5.000;24.510;5.500;1,10;10,00%;2.500;12.255;2.750;1,10;5,00%;4.000;19.608;4.400;1,10;8,00%;3.500;17.157;3.850;1,10;7,00%;7.000;34.314;7.700;1,10;14,00%;7.000;34.314;7.700;1,10;14,00%;3.500;17.157;3.850;1,10;7,00%;4.500;22.059;4.950;1,10;9,00%;4.000;19.608;4.400;1,10;8,00%;3.000;14.706;3.300;1,10;6,00%;50.000;245.100;55.000;1,10;50.000;55.000;1,10;4,90;
Cefal用odos-Todos;Pota;T+T;154100100;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00;0;0,00;;
Cefal用odos-Todos;Pota;Tubo Interfoliado/Armario;152052400;14.000;81.900;13.720;0,98;5,00%;14.000;81.900;13.720;0,98;5,00%;28.000;163.800;27.440;0,98;10,00%;25.200;147.420;24.696;0,98;9,00%;25.200;147.420;24.696;0,98;9,00%;22.400;131.040;21.952;0,98;8,00%;30.800;180.180;30.184;0,98;11,00%;36.400;212.940;35.672;0,98;13,00%;22.400;131.040;21.952;0,98;8,00%;28.000;163.800;27.440;0,98;10,00%;22.400;131.040;21.952;0,98;8,00%;11.200;65.520;10.976;0,98;4,00%;280.000;1.638.000;274.400;0,98;280.000;274.400;0,98;5,85;
Cefal用odos-Todos;Pota;Tubo IQF;152100101;1.750;8.663;1.715;0,98;5,00%;1.750;8.663;1.715;0,98;5,00%;3.850;19.058;3.773;0,98;11,00%;3.150;15.593;3.087;0,98;9,00%;3.150;15.593;3.087;0,98;9,00%;2.800;13.860;2.744;0,98;8,00%;4.200;20.790;4.116;0,98;12,00%;4.200;20.790;4.116;0,98;12,00%;2.800;13.860;2.744;0,98;8,00%;3.500;17.325;3.430;0,98;10,00%;2.450;12.128;2.401;0,98;7,00%;1.400;6.930;1.372;0,98;4,00%;35.000;173.250;34.300;0,98;35.000;34.300;0,98;4,95;
Cefal用odos-Todos;Pota;Vaina;154400101;3.000;22.200;4.050;1,35;5,00%;3.000;22.200;4.050;1,35;5,00%;4.800;35.520;6.480;1,35;8,00%;6.000;44.400;8.100;1,35;10,00%;7.800;57.720;10.530;1,35;13,00%;8.400;62.160;11.340;1,35;14,00%;8.400;62.160;11.340;1,35;14,00%;4.800;35.520;6.480;1,35;8,00%;3.600;26.640;4.860;1,35;6,00%;4.200;31.080;5.670;1,35;7,00%;3.000;22.200;4.050;1,35;5,00%;3.000;22.200;4.050;1,35;5,00%;60.000;444.000;81.000;1,35;60.000;81.000;1,35;7,40;
Cefal用odos-Todos;Pota;Varios;153600102;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0;0;0,00;;
Cefal用odos-Todos;Pot溶;Total;;67.700;304.850;76.858;1,13;;68.550;307.230;77.411;1,13;;117.250;521.280;131.318;1,13;;101.450;456.568;115.035;1,13;;114.250;512.925;129.413;1,13;;92.200;412.760;104.134;1,13;;126.500;564.608;141.978;1,13;;148.100;663.558;167.009;1,13;;79.400;355.923;89.516;1,13;;102.050;458.668;115.605;1,13;;81.150;361.693;91.044;1,13;;46.400;207.190;52.232;1,13;;1.145.000;5.127.250;1.291.550;1,13;1.145.000;1.291.550;1,13;4,57;
Cefal用odos-Todos;Pot溶;Anilla romana;183210100;750;2.025;413;0,55;5,00%;750;2.025;413;0,55;5,00%;1.950;5.265;1.073;0,55;13,00%;900;2.430;495;0,55;6,00%;1.500;4.050;825;0,55;10,00%;1.200;3.240;660;0,55;8,00%;1.950;5.265;1.073;0,55;13,00%;1.800;4.860;990;0,55;12,00%;900;2.430;495;0,55;6,00%;1.200;3.240;660;0,55;8,00%;1.200;3.240;660;0,55;8,00%;900;2.430;495;0,55;6,00%;15.000;40.500;8.250;0,55;15.000;8.250;0,55;2,70;
Cefal用odos-Todos;Pot溶;Anilla/Troceado;151555000;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0,00%;0;0;0;0,00;0;0;0,00;;
